id,tourney_name
25731207,Draw Your Destiny - Open Qualifier
52307688,TFT Open Championship 8: Regional LCQ
69123146,Rising Legends: Monsters Attack - Golden Spatula Cup #3
78573789,Monsters Attack: East Asian Finals - OCE Lobby
33205337,ProLegends Stage 1 2022 - Board Masters #1
41273131,Legends Cup: Gizmos & Gadgets
1023080,Gizmos & Gadgets: NA Piltover Cup
21359007,Star Cup 2021
48252008,Remix Rumble: NA K/DA Cup
85644174,ProLegends Stage 2 2021 - Board Masters #3
37913622,Gizmos & Gadgets: Innovator Cup
54057085,Rising Legends: Remix Rumble - Open Qualifier #1
19767935,Hex League: Split 1 - Qualifier
12198037,ProLegends Stage 2 2023 - Road to Pro Open Qualifier #4
5782688,Gizmos & Gadgets: NA Regional Finals
31331273,Monsters Attack: East Asian Finals - JP Lobby
83347166,TFT Open Championship 7: Kuaishou Finals
65658199,Reckoning: Open Qualifier #4
36884259,TFT Open Championship 6: NetCafe League Finals
7296640,XD Star Cup: Remix Rumble - Open Qualifier #3
46244133,Ultraliga Season 3 - Open Qualifier
96731048,Fates: Challenger Series #7
18814464,TFT Open Championship 8: Huya Warrior Cup Season 6
44164186,ProLegends Stage 2 2023 - Road to Pro Open Qualifier #1
91206754,Fates: Challenger Series #2
63601557,Hex League: Set 8 - Up & Down
31837178,TFT Open Championship 8: NetCafe League Finals
91695941,Asian Cup: Runeterra Reforged
3582385,TFT Open Championship 3: NetCafe Wanyoo - Shanghai Finals
76510635,Remix Rumble: OCE Qiyana Open Qualifier
82410967,Rising Legends: Monsters Attack! - Finals
42176396,Rising Legends: Monsters Attack - Golden Spatula Cup #2
2031180,Ultraliga Season 3 - Closed Qualifier
1183187,Galaxies: Latin America South Finals
70484095,TFT Gizmos & Gadgets  Gizmos & Gadgets: OCE Finals
67584817,Runeterra Reforged: Bruiser Cup
39064964,Choncc Championship 2022
22470562,Reckoning Mid-Set Finale
69124930,Runeterra Reforged: Vietnam Open Qualifier #2
81475753,TFT Open Championship 4: NetCafe League Finals
66135812,Reckoning: Open Qualifier #1
93971570,ProLegends 2020 - Finals
94482949,RoEMEA: Inkborn Fables - Qualifier #2
23202320,Fates NA Qualifier #2
70008461,Remix Rumble Championship
46600385,Reckoning: Dawnbringer Cup
73884317,TFT Open Championship 2: NetCafe Wanyoo - North Finals
37910197,Legends Cup: Fates
13872424,Yükselme Serisi: Inkborn Fables - Qualifier #2
24447294,Reckoning: Open Qualifier #3
22932913,Gizmos & Gadgets Championship
11284945,Mortdog Madness: Reckoning
97690605,Galaxies: Japan Finals
79246788,TFT Open Championship 4: Trainer Cup
67355072,Inkborn Fables: DTXV Cyber #1
32353875,AfreecaTV Series: Runeterra Reforged - Finals
40864868,The Chosen One - Streamers Battle S1
10668341,EMEA: DreamHack Stockholm
40872600,PGL International Series #2
84139029,ProLegends Stage 1 2022 - Finals
59917511,AfreecaTV Series: Remix Rumble - Finals #1
11963693,TFT ENCHANT CUP: Dragonlands
32675926,Remix Rumble: LATAM Open Qualifier LAN #2
42119935,ProLegends Stage 2 2022 - Finals
60926382,Northern Legends: Inkborn Fables - Qualifier #2
95372582,Esports World Cup 2024
34091578,TFT Open Championship 4: NetCafe Wanyoo - North Finals
45781660,Rising Legends: Runeterra Reforged - Open Qualifier #2
86700374,Asian Cup: Monsters Attack!
48372755,Inkborn Fables: VN Tactician Trials #1
91760085,TPC S9 Open Qualifier #1
30824919,Super League: Spring 2024 - Tormenta Spatula #2
41389425,Dragonlands: Japan Finals
1252864,Monsters Attack: East Asian Finals - KR Lobby
17197258,Dragonlands Championship
25509696,Rising Legends: Inkborn Fables - Golden Spatula Cup #3
60029279,TFT Open Championship 2: Douyu Finals
85006259,Rising Legends: Gizmos & Gadgets - Finals
96923351,Reckoning: Latin America Finals
26925340,Monsters Attack!: Western Last Chance Qualifier
86121603,Northern Legends: Inkborn Fables - Qualifier #1
48788228,Hextech Havoc: Double Up
