id,tourney_name,tier,region,start_date,end_date,num_participants,link,patch,day,sheet_index,is_live_flag,sheet_name,set
67173566,2024 Americas TFT Inkborn Fables Tactician's Cup II,B,Americas,2024-05-24,2024-05-26,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiKTHCHf4bEDNHBuiGmtEFsyHZ0IAx0rkLrd7q24qqzSsNMPFAuN8i9DyP1Wxje-CtvD8cqu5VLCcQ/pubhtml#,14.10b,3,0,0,,11
61727238,2024 Americas TFT Inkborn Fables Golden Spatula,A,Americas,2024-07-05,2024-07-07,32,https://docs.google.com/spreadsheets/d/e/2PACX-1vTcH1Dp7vLIYh5DfTdKK9EPmARsHCaF2_kBp_m9exBryOX1rVBqiN8MFiIqlzwpjheEs3vXYLKM_sCC/pubhtml#,14.13,2,2,0,,11
61727238,2024 Americas TFT Inkborn Fables Golden Spatula,A,Americas,2024-07-05,2024-07-07,32,https://docs.google.com/spreadsheets/d/e/2PACX-1vTcH1Dp7vLIYh5DfTdKK9EPmARsHCaF2_kBp_m9exBryOX1rVBqiN8MFiIqlzwpjheEs3vXYLKM_sCC/pubhtml#,14.13,1,3,0,,11
61727238,2024 Americas TFT Inkborn Fables Golden Spatula,A,Americas,2024-07-05,2024-07-07,32,https://docs.google.com/spreadsheets/d/e/2PACX-1vTcH1Dp7vLIYh5DfTdKK9EPmARsHCaF2_kBp_m9exBryOX1rVBqiN8MFiIqlzwpjheEs3vXYLKM_sCC/pubhtml#,14.13,3,0,0,,11
49714891,2024 Americas TFT Inkborn Fables Tactician's Cup III,B,Americas,2024-06-21,2024-06-23,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vQjodoBBeSzVtRFp6-nRsQYkShZjJamVwCDrwXDzK8BA1nrOa594V0zRyvP2HDOdST-NyrIsNVbLy1K/pubhtml,14.12,1,4,0,,11
49714891,2024 Americas TFT Inkborn Fables Tactician's Cup III,B,Americas,2024-06-21,2024-06-23,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vQjodoBBeSzVtRFp6-nRsQYkShZjJamVwCDrwXDzK8BA1nrOa594V0zRyvP2HDOdST-NyrIsNVbLy1K/pubhtml,14.12,2,2,0,,11
49714891,2024 Americas TFT Inkborn Fables Tactician's Cup III,B,Americas,2024-06-21,2024-06-23,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vQjodoBBeSzVtRFp6-nRsQYkShZjJamVwCDrwXDzK8BA1nrOa594V0zRyvP2HDOdST-NyrIsNVbLy1K/pubhtml,14.12,3,0,0,,11
67173566,2024 Americas TFT Inkborn Fables Tactician's Cup II,B,Americas,2024-05-24,2024-05-26,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vQEvRJJRipUVEVSsfADlMxLw1oR_aN7yCh9FHpFtLNyJM6AXgARahG8l3EYJsrZgDQQNoCrRfaYZnoo/pubhtml,14.10b,1,0,0,,11
67173566,2024 Americas TFT Inkborn Fables Tactician's Cup II,B,Americas,2024-05-24,2024-05-26,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vSu2OOkmDH9W1cfj6aZL9ySHmfTqRYLl8sel0VZnyfOANoUbGhwMfu8cubzwDmH2OBp3uiKCpuxrCUm/pubhtml,14.10b,2,0,0,,11
79038450,2024 Americas TFT Inkborn Fables Tactician's Cup I,B,Americas,2024-04-26,2024-04-28,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vTiQ_4ZOw_C-Be28bVlqOVyxpQQIPd9v9ZHiuHzJf5oH4P_TCXslGPEIGxIs7obxe63vJZNAUWCr_H7/pubhtml,14.8,1,4,0,,11
79038450,2024 Americas TFT Inkborn Fables Tactician's Cup I,B,Americas,2024-04-26,2024-04-28,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vTiQ_4ZOw_C-Be28bVlqOVyxpQQIPd9v9ZHiuHzJf5oH4P_TCXslGPEIGxIs7obxe63vJZNAUWCr_H7/pubhtml,14.8,2,2,0,,11
79038450,2024 Americas TFT Inkborn Fables Tactician's Cup I,B,Americas,2024-04-26,2024-04-28,128,https://docs.google.com/spreadsheets/d/e/2PACX-1vTiQ_4ZOw_C-Be28bVlqOVyxpQQIPd9v9ZHiuHzJf5oH4P_TCXslGPEIGxIs7obxe63vJZNAUWCr_H7/pubhtml,14.8,3,0,0,,11
13879530,Inkborn Fables Tactician's Crown,S,World,2024-07-12,2024-07-14,32,https://docs.google.com/spreadsheets/d/e/2PACX-1vTB9zL9Dp3uXXDryaMptggjYP2DZ9otBwDcpuT8keYAHRy4IG5rwZIgwjpAJkStG-cbE8cNi9p4h5m1/pubhtml#,14.13,1,1,0,,11
13879530,Inkborn Fables Tactician's Crown,S,World,2024-07-12,2024-07-14,32,https://docs.google.com/spreadsheets/d/e/2PACX-1vTB9zL9Dp3uXXDryaMptggjYP2DZ9otBwDcpuT8keYAHRy4IG5rwZIgwjpAJkStG-cbE8cNi9p4h5m1/pubhtml#,14.13,2,1,0,,11
13879530,Inkborn Fables Tactician's Crown,S,World,2024-07-12,2024-07-14,32,https://docs.google.com/spreadsheets/d/e/2PACX-1vTB9zL9Dp3uXXDryaMptggjYP2DZ9otBwDcpuT8keYAHRy4IG5rwZIgwjpAJkStG-cbE8cNi9p4h5m1/pubhtml#,14.13,3,3,0,,11
